Label of tree,County,Twig a or b,Date,Counter,Live scale shoot 1,dead scale shoot 1,Live scale shoot 2,dead scale shoot 2,Live scale shoot 3,dead scale shoot 3,presence of parasitism ,presence of fungus,scale on new growth?,Encarsia
M-A1a,Mitchell,b,July,Jill,1,1,0,3,0,3,yes,,,20
M-A1a,Mitchell,a,July,Jill,0,0,0,0,0,0,,,,20
M-A1b,Mitchell,b,July,Jill,1,4,4,3,6,13,yes,,yes,7
M-A1b,Mitchell,a,July,Jill,0,0,0,0,0,0,,,,7
M-A1c,Mitchell,b,July,Jill,8,2,4,7,0,5,,yes,,
M-A1c,Mitchell,a,July,Jill,1,0,3,7,1,5,,,,
M-A1d,Mitchell,b,July,Jill,2,3,2,5,1,1,yes,,,
M-A1d,Mitchell,a,July,Jill,0,1,0,1,1,3,,,yes,
M-A2a,Mitchell,b,July,Jill,5,8,4,4,3,8,yes,,yes,10
M-A2a,Mitchell,a,July,Jill,2,8,2,1,0,1,yes,,yes,10
M-A2b,Mitchell,a,July,Jill,0,4,1,4,0,2,yes,,,3
M-A2b,Mitchell,b,July,Jill,0,0,2,1,0,0,,,,3
M-A2c,Mitchell,a,July,Jill,7,23,8,15,3,13,yes,yes,yes,
M-A2c,Mitchell,b,July,Jill,4,12,0,8,2,7,yes,,,
M-A2d,Mitchell,b,July,Jill,4,3,8,4,3,2,yes,,yes,
M-A2d,Mitchell,a,July,Jill,0,3,0,1,0,1,yes,,,
M-A3a,Mitchell,a,July,Jill,1,1,0,2,0,1,yes,,yes,11
M-A3a,Mitchell,b,July,Jill,1,10,0,5,0,10,,yes,,11
M-A3b,Mitchell,b,July,Jill,1,21,4,18,0,19,yes,,yes,15
M-A3b,Mitchell,a,July,Jill,0,43,0,30,1,35,yes,yes,yes,15
M-A3c,Mitchell,b,July,Jill,2,21,0,18,0,15,yes,yes,,
M-A3c,Mitchell,a,July,Jill,0,18,0,3,0,23,yes,,,
M-A3d,Mitchell,a,July,Jill,0,4,0,4,0,8,yes,,yes,
M-A3d,Mitchell,b,July,Jill,0,7,0,12,0,11,,,yes,
M-A4a,Mitchell,b,July,Jill,1,18,0,5,1,5,yes,yes,yes,95
M-A4a,Mitchell,a,July,Jill,0,17,1,27,2,29,yes,yes,yes,95
M-A4b,Mitchell,a,July,Jill,0,0,0,0,0,0,,,,24
M-A4b,Mitchell,b,July,Jill,0,1,0,0,0,1,,,,24
M-A4c,Mitchell,a,July,Jill,19,38,0,44,2,44,yes,yes,yes,
M-A4c,Mitchell,b,July,Jill,2,0,1,11,0,12,,,,
M-A4d,Mitchell,a,July,Jill,0,5,0,0,0,1,,,,
M-A4d,Mitchell,b,July,Jill,0,3,0,1,2,2,,,,
M-B1a,Mitchell,b,July,Jill,5,6,7,12,6,11,yes,yes,yes,148
M-B1a,Mitchell,a,July,Jill,4,13,1,40,4,20,yes,yes,yes,148
M-B1b,Mitchell,a,July,Jill,2,1,0,0,1,1,,,yes,20
M-B1b,Mitchell,b,July,Jill,1,1,0,2,2,0,yes,,,20
M-B1c,Mitchell,a,July,Jill,0,0,0,0,0,0,,,,
M-B1c,Mitchell,b,July,Jill,0,0,0,1,2,1,yes,,,
M-B1d,Mitchell,a,July,Jill,0,2,1,1,2,1,yes,,yes,
M-B1d,Mitchell,b,July,Jill,0,0,0,0,0,0,,,,
M-B2a,Mitchell,a,July,Jill,0,2,1,6,0,0,yes,,,62
M-B2a,Mitchell,b,July,Jill,0,4,0,13,0,6,yes,,yes,62
M-B2b,Mitchell,b,July,Jill,5,7,8,12,2,3,yes,,yes,37
M-B2b,Mitchell,a,July,Jill,2,4,2,24,3,19,,yes,yes,37
M-B2c,Mitchell,a,July,Jill,0,7,0,0,0,20,,,,
M-B2c,Mitchell,b,July,Jill,0,2,0,0,0,0,,,,
M-B2d,Mitchell,a,July,Jill,0,7,2,4,1,2,yes,,,
M-B2d,Mitchell,b,July,Jill,0,3,0,6,0,2,,,yes,
M-B3a,Mitchell,a,July,Jill,0,1,0,0,0,0,,,,24
M-B3a,Mitchell,b,July,Jill,0,0,0,0,1,0,,,,24
M-B3b,Mitchell,a,July,Jill,0,0,0,0,0,0,,,,21
M-B3b,Mitchell,b,July,Jill,0,0,0,0,0,3,yes,,yes,21
M-B3c,Mitchell,a,July,Jill,0,0,2,0,0,0,,,yes,
M-B3c,Mitchell,b,July,Jill,0,3,2,0,0,2,yes,,yes,
M-B3d,Mitchell,a,July,Jill,3,4,2,1,0,1,yes,,,
M-B3d,Mitchell,b,July,Jill,1,1,1,1,1,1,yes,,,
M-B4a,Mitchell,a,July,Jill,0,3,1,0,1,0,,,yes,25
M-B4a,Mitchell,b,July,Jill,0,0,0,0,0,0,,,,25
M-B4b,Mitchell,b,July,Jill,6,5,5,10,0,10,yes,,yes,71
M-B4b,Mitchell,a,July,Jill,1,14,0,17,0,13,yes,yes,yes,71
M-B4c,Mitchell,a,July,Jill,1,0,0,0,0,1,yes,,,
M-B4c,Mitchell,b,July,Jill,1,2,0,0,0,0,yes,,yes,
M-B4d,Mitchell,b,July,Jill,2,8,1,10,1,6,yes,yes,yes,
M-B4d,Mitchell,a,July,Jill,1,5,2,14,4,9,yes,yes,yes,
M-C1a,Mitchell,a,July,Jill,0,4,,,,,,,,5
M-C1a,Mitchell,b,July,Jill,0,0,,,,,,,,5
M-C1b,Mitchell,a,July,Jill,5,10,6,15,2,7,,,yes,16
M-C1b,Mitchell,b,July,Jill,0,1,2,5,0,5,,,yes,16
M-C1c,Mitchell,a,July,Jill,3,2,,,,,,,,
M-C1c,Mitchell,b,July,Jill,2,15,1,20,2,9,,,yes,
M-C1d,Mitchell,a,July,Jill,2,7,6,2,0,2,,,yes,
M-C1d,Mitchell,b,July,Jill,0,0,0,9,,,,,,
M-C2a,Mitchell,b,July,Jill,2,7,2,19,,,yes,,yes,8
M-C2a,Mitchell,a,July,Jill,1,18,,,,,yes,,yes,8
M-C2b,Mitchell,b,July,Jill,9,25,,,,,,,,
M-C2b,Mitchell,a,July,Jill,0,17,0,28,2,18,yes,,yes,
M-C2c,Mitchell,a,July,Jill,0,4,,,,,yes,,yes,
M-C2c,Mitchell,b,July,Jill,0,5,,,,,yes,,yes,
M-C2d,Mitchell,a,July,Jill,0,7,0,7,0,0,yes,,yes,
M-C2d,Mitchell,b,July,Jill,0,9,,,,,,,yes,
M-C3a,Mitchell,a,July,Jill,3,5,0,7,0,3,yes,yes,yes,12
M-C3a,Mitchell,b,July,Jill,3,15,0,11,0,7,,,yes,12
M-C3b,Mitchell,a,July,Jill,0,1,,,,,,,,27
M-C3b,Mitchell,b,July,Jill,0,0,0,3,,,,,,27
M-C3c,Mitchell,b,July,Jill,2,12,2,6,0,4,yes,,yes,
M-C3c,Mitchell,a,July,Jill,0,1,0,1,0,1,yes,,,
M-C3d,Mitchell,a,July,Jill,0,0,,,,,,,,
M-C3d,Mitchell,b,July,Jill,0,0,0,6,0,13,yes,yes,yes,
M-C4a,Mitchell,b,July,Jill,1,2,0,4,5,4,yes,,yes,34
M-C4a,Mitchell,a,July,Jill,0,1,3,1,,,yes,,yes,34
M-C4b,Mitchell,a,July,Jill,0,4,0,0,0,0,yes,,yes,39
M-C4b,Mitchell,b,July,Jill,0,2,0,1,0,1,yes,,yes,39
M-C4c,Mitchell,a,July,Jill,0,1,0,0,0,1,yes,,,
M-C4c,Mitchell,b,July,Jill,0,4,0,6,2,15,yes,,yes,
M-C4d,Mitchell,a,July,Jill,1,3,,,,,,,,
M-C4d,Mitchell,b,July,Jill,0,6,1,4,0,8,,,yes,
M-D1a,Mitchell,b,July,Jill,8,3,2,3,2,28,yes,,yes,58
M-D1a,Mitchell,a,July,Jill,0,0,1,24,4,11,yes,yes,,58
M-D1b,Mitchell,b,July,Jill,9,12,12,16,7,10,yes,,yes,30
M-D1b,Mitchell,a,July,Jill,3,14,3,7,6,16,yes,,yes,30
M-D1c,Mitchell,b,July,Jill,2,8,1,4,2,13,yes,,,
M-D1c,Mitchell,a,July,Jill,1,0,0,0,0,0,,,,
M-D1d,Mitchell,a,July,Jill,0,1,0,0,0,1,yes,yes,,
M-D1d,Mitchell,b,July,Jill,0,2,0,2,0,0,yes,,yes,
M-D2a,Mitchell,a,July,Jill,0,4,0,2,0,2,yes,yes,,34
M-D2a,Mitchell,b,July,Jill,0,1,1,2,0,2,,,yes,34
M-D2b,Mitchell,a,July,Jill,0,0,,,,,,,,151
M-D2b,Mitchell,b,July,Jill,0,3,0,20,0,0,yes,,,151
M-D2c,Mitchell,a,July,Jill,0,23,2,36,0,12,yes,,yes,
M-D2c,Mitchell,b,July,Jill,0,7,0,19,1,0,,,yes,
M-D2d,Mitchell,a,July,Jill,0,12,1,6,1,8,yes,,yes,
M-D2d,Mitchell,b,July,Jill,0,2,0,0,0,0,,,,
M-D3a,Mitchell,a,July,Jill,2,9,0,6,0,13,yes,yes,yes,16
M-D3a,Mitchell,b,July,Jill,1,13,2,9,5,4,yes,,yes,16
M-D3b,Mitchell,a,July,Jill,0,0,0,5,3,9,,,,7
M-D3b,Mitchell,b,July,Jill,0,2,2,0,0,3,,,,7
M-D3c,Mitchell,a,July,Jill,0,5,0,0,0,3,yes,yes,,
M-D3c,Mitchell,b,July,Jill,0,9,0,7,2,3,,yes,yes,
M-D3d,Mitchell,a,July,Jill,4,1,0,9,0,1,,,,
M-D3d,Mitchell,b,July,Jill,0,9,0,7,1,19,,,yes,
M-D4a,Mitchell,a,July,Jill,2,10,3,1,,,yes,yes,yes,34
M-D4a,Mitchell,b,July,Jill,0,9,1,9,0,3,yes,yes,yes,34
M-D4b,Mitchell,a,July,Jill,3,13,3,15,2,7,yes,,yes,136
M-D4b,Mitchell,b,July,Jill,2,34,12,35,5,22,yes,yes,yes,136
M-D4c,Mitchell,a,July,Jill,2,10,0,10,0,7,yes,yes,yes,
M-D4c,Mitchell,b,July,Jill,0,1,0,0,,,,yes,,
M-D4d,Mitchell,b,July,Jill,2,1,1,5,0,0,yes,yes,yes,
M-D4d,Mitchell,a,July,Jill,0,0,1,0,0,0,,,,
M-E1a,Mitchell,a,July,Jill,0,0,5,1,0,0,,,,18
M-E1a,Mitchell,b,July,Jill,0,1,0,1,0,0,,yes,yes,18
M-E1b,Mitchell,a,July,Jill,0,0,0,0,0,0,,,,26
M-E1b,Mitchell,b,July,Jill,0,0,2,2,0,1,yes,,yes,26
M-E1c,Mitchell,a,July,Jill,2,0,0,0,0,0,,,,
M-E1c,Mitchell,b,July,Jill,0,0,0,0,0,2,,,,
M-E1d,Mitchell,a,July,Jill,1,0,1,4,6,0,yes,,yes,
