label,ab,Live scale shoot 1 EHS,dead scale shoot 1 EHS ,Live scale shoot 2 EHS,dead scale shoot 2 EHS ,Live scale shoot 3 EHS,dead scale shoot 3 EHS ,presence of parasitism ,Live scale shoot 1 Crypto,dead scale shoot 1 Crypto ,Live scale shoot 2 Crypto,dead scale shoot 2 Crypto ,Live scale shoot 3 Crypto,dead scale shoot 3 Crypto ,presence of fungus
A1a,a,7,6,7,7,4,12,yes,0,0,0,0,0,0,no
A1a,b,1,20,1,20,2,20,yes,0,0,0,0,0,0,no
A1b,a,0,2,0,2,0,4,no,0,0,0,0,0,0,no
A1b,b,0,2,0,0,1,0,no,0,0,0,0,0,0,no
A1c,a,0,12,2,17,1,15,yes,0,0,0,0,0,0,no
A1c,b,2,11,2,15,1,10,yes,0,0,0,0,0,0,no
A1d,a,0,0,0,0,0,0,no,0,0,0,0,0,0,no
A1d,b,0,5,0,1,0,2,yes,0,0,0,0,0,0,no
B1a,a,6,50,10,58,0,59,yes,0,0,0,0,0,0,yes
B1a,b,1,31,3,32,1,30,yes,0,0,0,0,0,0,yes
B1b,a,0,4,0,6,0,0,yes,0,0,0,0,0,0,yes
B1b,b,2,4,0,14,0,7,yes,0,0,0,0,0,0,no
B1c,a,0,5,3,11,1,7,no,0,0,0,0,0,0,no
B1c,b,0,6,2,1,0,2,yes,0,0,0,0,0,0,no
B1d,a,1,5,2,7,2,25,yes,0,0,0,0,0,0,no
B1d,b,7,40,5,32,4,20,yes,0,0,0,0,0,0,yes
C1a,a,4,24,3,31,1,20,no,0,0,0,0,0,0,no
C1a,b,2,30,3,28,2,25,yes,0,0,0,0,0,0,yes
C1b,a,5,13,7,20,4,16,yes,0,0,0,0,0,0,yes
C1b,b,1,0,0,0,0,1,no,0,0,0,0,0,0,no
C1c,a,1,1,1,1,1,1,no,0,0,0,0,0,0,no
C1c,b,0,3,0,1,4,4,no,0,0,0,0,0,0,no
C1d,a,0,1,0,1,0,0,no,0,0,0,0,0,0,no
C1d,b,0,0,3,16,4,13,no,0,0,0,0,0,0,no
D1a,b,0,6,0,1,0,2,no,0,0,0,0,0,0,no
D1a,a,0,1,0,1,0,0,no,0,0,0,0,0,0,no
D1b,b,0,0,0,0,0,0,no,0,3,1,1,0,1,no
D1b,a,0,0,0,0,0,0,no,0,0,0,0,0,0,no
D1c,b,0,0,0,0,0,0,no,0,0,0,0,0,0,no
D1c,a,0,0,0,0,0,0,no,0,0,0,0,0,0,no
D1d,b,0,1,0,0,0,0,no,0,0,0,0,0,0,no
D1d,a,0,0,0,0,0,0,no,0,0,0,0,0,0,no
A2a,b,3,22,3,22,3,22,no,0,0,0,0,0,0,no
A2a,a,1,2,1,0,0,3,no,0,0,0,0,0,0,no
A2b,b,0,1,0,0,0,0,no,0,0,0,0,0,0,no
A2b,a,0,1,1,6,0,1,no,0,0,0,0,0,0,no
A2c,b,0,1,0,0,0,0,no,0,0,0,0,0,0,no
A2c,a,0,0,0,0,0,0,no,0,0,0,0,0,0,no
A2d,b,3,4,1,16,2,4,yes,0,0,0,0,0,0,no
A2d,a,0,2,0,8,1,3,no,0,0,0,0,0,0,no
B2a,b,1,4,4,6,2,4,no,0,0,0,0,0,0,no
B2a,a,1,1,1,1,0,0,yes,0,0,0,0,0,0,no
B2b,b,0,1,0,0,0,0,no,0,0,0,0,0,0,no
B2b,a,0,2,0,2,0,0,no,0,0,0,0,0,0,no
B2c,b,1,17,1,19,3,45,yes,0,0,0,0,0,0,yes
B2c,a,1,17,1,19,3,45,yes,0,0,0,0,0,0,yes
B2d,b,22,47,3,37,5,21,no,0,0,0,0,0,0,no
B2d,a,1,3,3,3,3,9,yes,0,0,0,0,0,0,no
C2a,b,0,1,0,0,0,0,no,0,0,0,0,0,0,no
C2a,a,1,0,0,2,0,0,no,0,0,0,0,0,0,no
C2b,b,0,3,0,1,1,2,no,0,0,0,0,0,0,no
C2b,a,0,1,0,0,1,0,no,0,0,0,0,0,0,no
C2c,b,0,0,0,0,0,0,no,0,0,0,0,0,0,no
C2c,a,0,0,0,0,0,0,no,0,0,0,0,0,0,no
C2d,a,0,0,0,0,0,2,no,0,0,0,0,0,0,no
C2d,b,0,0,0,0,0,0,no,0,0,0,0,0,0,no
D2a,a,1,1,0,0,0,1,no,0,0,0,0,0,0,no
D2a,b,0,1,0,0,0,0,no,0,0,0,0,0,0,no
D2b,a,1,30,0,13,0,16,no,0,0,0,0,0,0,yes
D2b,b,1,30,0,13,0,16,no,0,0,0,0,0,0,yes
D2c,a,3,50,2,41,0,34,no,0,0,0,0,0,0,yes
D2c,b,1,17,2,20,1,30,no,0,0,0,0,0,0,yes
D2d,none,0,0,0,0,0,0,no,0,0,0,0,0,0,no
D2d,none,0,0,0,0,0,0,no,0,0,0,0,0,0,no
A3a,b,1,9,5,5,0,15,yes,0,0,0,0,0,0,no
A3a,a,5,40,5,42,5,28,yes,0,0,0,0,0,0,no
A3b,b,0,50,1,59,1,50,no,0,0,0,0,0,0,yes
A3b,a,0,10,1,7,0,11,no,0,0,0,0,0,0,yes
A3c,b,0,5,1,8,2,9,no,0,0,0,0,0,0,no
A3c,a,1,0,0,3,0,1,yes,0,0,0,0,0,0,no
A3d,a,2,50,3,41,3,55,yes,0,0,0,0,0,0,no
A3d,b,0,30,0,23,1,28,no,0,0,0,0,0,0,no
B3a,a,5,25,2,26,1,23,yes,0,0,0,0,0,0,yes
B3a,b,5,29,4,32,2,41,yes,0,0,0,0,0,0,yes
B3b,a,0,3,0,3,0,3,no,0,0,0,0,0,0,no
B3b,b,0,1,0,1,0,0,no,0,0,0,0,0,0,no
B3c,a,0,2,0,1,0,5,no,0,0,0,0,0,0,no
B3c,b,0,1,0,0,0,0,no,0,0,0,0,0,0,no
B3d,a,2,7,5,7,0,35,yes,0,0,0,0,0,0,yes
B3d,b,0,7,1,10,2,18,yes,0,0,0,0,0,0,no
C3a,b,0,0,0,0,0,0,yes,0,0,0,0,0,0,yes
C3a,a,0,0,0,0,0,0,yes,0,0,0,0,0,0,yes
C3b,b,1,0,0,2,2,5,no,0,0,0,0,0,0,no
C3b,a,1,0,1,0,0,1,yes,0,0,0,0,0,0,no
C3c,b,0,0,0,0,0,0,no,0,0,0,0,0,0,no
C3c,a,0,2,0,4,0,1,no,0,0,0,0,0,0,no
C3d,b,0,1,0,0,0,0,no,0,0,0,0,0,0,no
C3d,a,1,0,1,0,1,7,no,0,0,0,0,0,0,no
D3a,a,6,50,10,43,8,27,no,0,0,0,0,0,0,yes
D3a,b,2,20,3,20,0,30,no,0,0,0,0,0,0,yes
D3b,b,7,38,1,42,1,16,no,0,0,0,0,0,0,yes
D3b,a,1,11,1,6,0,10,yes,0,0,0,0,0,0,no
D3c,b,0,3,1,0,0,0,no,0,0,0,0,0,0,no
D3c,a,0,0,0,0,0,0,no,0,0,0,0,0,0,no
D3d,b,1,0,0,0,0,0,no,0,0,0,0,0,0,no
D3d,a,1,0,0,0,0,0,no,0,0,0,0,0,0,no
A4a,b,4,4,1,3,1,6,yes,0,0,0,0,0,0,yes
A4a,a,0,2,1,1,0,5,no,0,0,0,0,0,0,no
A4b,b,6,12,10,25,13,35,yes,0,0,0,0,0,0,no
A4b,a,0,0,0,0,0,0,yes,4,10,6,35,5,30,yes
A4c,b,0,0,0,0,0,2,yes,20,70,20,35,17,25,yes
A4c,a,0,0,0,0,0,2,yes,20,70,20,35,17,25,yes
A4d,b,10,15,2,14,0,17,yes,0,0,0,0,0,0,yes
A4d,a,1,18,2,25,1,20,yes,0,0,0,0,0,0,yes
B4a,b,1,38,2,22,5,52,yes,0,0,0,0,0,0,yes
B4a,a,9,28,6,19,4,36,yes,0,0,0,0,0,0,yes
B4b,b,4,125,9,32,7,12,yes,0,0,0,0,0,0,no
B4b,a,2,5,5,5,4,12,yes,0,0,0,0,0,0,no
B4c,a,4,25,2,47,1,51,no,0,0,0,0,0,0,no
B4c,b,11,35,15,47,14,37,no,0,0,0,0,0,0,no
B4d,b,1,5,3,10,2,9,no,0,0,0,0,0,0,no
B4d,a,2,8,3,21,6,10,no,0,0,0,0,0,0,no
C4a,a,0,1,0,0,0,0,no,0,0,0,0,0,0,no
C4a,b,3,21,6,17,5,5,yes,0,0,0,0,0,0,no
C4b,a,1,5,4,6,2,7,no,0,0,0,0,0,0,no
C4b,b,3,22,4,9,0,11,yes,0,0,0,0,0,0,no
C4c,a,4,21,0,16,0,20,yes,0,0,0,0,0,0,no
C4c,b,2,18,4,21,3,19,yes,0,0,0,0,0,0,no
C4d,a,16,28,6,30,3,18,yes,0,0,0,0,0,0,yes
C4d,b,9,27,9,22,0,39,yes,0,0,0,0,0,0,yes
D4a,a,3,18,1,24,6,25,yes,0,0,0,0,0,0,no
D4a,b,1,20,5,30,4,14,yes,0,0,0,0,0,0,no
D4b,a,0,1,0,0,1,0,no,0,0,0,0,0,0,no
D4b,b,0,2,0,1,0,0,no,0,0,0,0,0,0,no
D4c,a,1,5,4,20,1,12,yes,0,0,0,0,0,0,no
D4c,b,4,17,1,10,2,17,yes,0,0,0,0,0,0,no
D4d,a,7,35,2,23,3,32,yes,0,0,0,0,0,0,no
D4d,b,7,45,2,42,4,40,yes,0,0,0,0,0,0,no
A5a,b,0,23,2,20,5,10,no,0,0,0,0,0,0,no
A5a,a,0,23,2,20,5,10,no,0,0,0,0,0,0,no
A5b,b,0,7,1,7,2,2,no,0,0,0,0,0,0,no
A5b,a,0,1,0,1,0,3,no,0,0,0,0,0,0,no
A5c,b,1,2,0,1,0,9,no,0,0,0,0,0,0,no
A5c,a,2,15,5,14,2,13,yes,0,0,0,0,0,0,yes
A5d,b,1,0,0,0,1,2,no,0,0,0,0,0,0,no
A5d,a,0,2,0,1,0,2,no,0,0,0,0,0,0,no
B5a,b,12,23,26,17,27,13,no,0,0,0,0,0,0,no
B5a,a,15,16,11,14,5,19,yes,0,0,0,0,0,0,yes
B5b,b,2,29,7,21,13,11,yes,0,0,0,0,0,0,no
B5b,a,11,19,8,13,2,24,yes,0,0,0,0,0,0,no
B5c,b,11,34,6,22,3,21,no,0,0,0,0,0,0,no
B5c,a,1,25,4,49,4,16,no,0,0,0,0,0,0,no
B5d,b,7,37,2,50,12,18,yes,0,0,0,0,0,0,no
B5d,a,2,28,5,15,6,20,yes,0,0,0,0,0,0,no
C5a,b,20,4,4,10,11,28,yes,0,0,0,0,0,0,yes
C5a,a,2,14,0,25,0,30,yes,0,0,0,0,0,0,yes
C5b,b,1,1,1,3,1,6,yes,0,0,0,0,0,0,yes
C5b,a,3,2,1,5,2,5,no,0,0,0,0,0,0,no
C5c,b,0,0,1,0,1,0,no,0,0,0,0,0,0,no
C5c,a,0,0,0,0,0,0,no,3,0,1,2,3,0,yes
C5d,a,1,0,0,1,0,0,no,0,0,0,0,0,0,no
C5d,b,1,1,0,0,0,0,no,0,0,0,0,0,0,no
D5a,a,2,0,0,0,0,0,no,0,0,0,0,0,0,no
D5a,b,3,6,1,1,1,7,yes,0,0,0,0,0,0,no
D5b,a,7,43,2,24,5,16,yes,0,0,0,0,0,0,yes
D5b,b,8,25,5,46,8,38,yes,0,0,0,0,0,0,yes
D5c,a,0,0,0,0,0,0,no,0,0,0,0,0,0,no
D5c,b,0,1,0,0,0,0,no,0,0,0,0,0,0,no
D5d,a,0,1,0,0,0,0,no,0,0,0,0,0,0,no
D5d,b,2,8,0,0,0,0,no,0,0,0,0,0,0,no
E1a,a,0,0,0,0,0,0,no,0,0,0,0,0,0,no
E1a,b,0,0,0,0,0,0,no,0,0,0,0,0,0,no
E1b,a,0,2,0,2,1,2,no,0,0,0,0,0,0,no
E1b,b,0,0,1,0,0,0,no,0,0,0,0,0,0,no
E1c,a,0,3,0,1,1,1,no,0,0,0,0,0,0,no
E1c,b,2,2,0,6,2,5,no,0,0,0,0,0,0,no
E1d,a,0,0,0,0,0,0,no,0,0,0,0,0,0,no
E1d,b,0,0,0,0,0,0,no,0,0,0,0,0,0,no
E2a,a,13,45,2,26,3,35,no,0,0,0,0,0,0,yes
E2a,b,1,25,0,40,2,40,no,0,0,0,0,0,0,no
E2b,a,0,0,0,0,0,0,no,0,0,0,0,0,0,no
E2b,b,0,1,0,0,0,0,no,0,0,0,0,0,0,no
E2c,a,0,1,0,0,0,0,no,0,0,0,0,0,0,no
E2c,b,0,1,0,0,0,0,no,0,0,0,0,0,0,no
E2d,a,0,0,0,0,0,0,no,0,0,0,0,0,0,no
E2d,b,0,1,2,0,0,1,no,0,0,0,0,0,0,no
E3a,a,2,10,1,6,2,15,no,0,0,0,0,0,0,yes
E3a,b,3,12,2,25,3,22,yes,0,0,0,0,0,0,no
E3b,a,3,65,8,75,2,48,yes,0,0,0,0,0,0,no
E3b,b,3,55,5,28,2,23,yes,0,0,0,0,0,0,no
E3c,a,0,0,0,0,0,0,no,0,0,0,0,0,1,no
E3c,b,4,5,0,0,0,4,no,0,0,0,0,0,0,no
E3d,a,6,29,0,14,6,14,yes,0,0,0,0,0,0,no
E3d,b,4,10,0,3,1,15,yes,0,0,0,0,0,0,yes
E4a,a,1,20,6,20,5,17,yes,0,0,0,0,0,0,yes
E4a,b,0,6,0,7,0,10,yes,0,0,0,0,0,0,yes
E4b,b,7,24,7,16,2,33,yes,0,0,0,0,0,0,yes
E4b,a,3,19,4,21,1,25,no,0,0,0,0,0,0,no
E4c,b,12,37,25,45,11,35,yes,0,0,0,0,0,0,yes
E4c,a,2,32,4,40,2,35,yes,0,0,0,0,0,0,yes
E4d,b,10,55,10,29,12,35,yes,0,0,0,0,0,0,yes
E4d,a,7,39,3,36,6,38,yes,0,0,0,0,0,0,yes
E5a,a,1,8,1,50,0,45,yes,0,0,0,0,0,0,yes
E5a,b,1,15,0,22,2,7,no,0,0,0,0,0,0,yes
E5b,b,0,2,0,4,1,4,no,0,0,0,0,0,0,no
E5b,a,2,2,6,7,7,7,yes,0,0,0,0,0,0,no
E5c,b,8,10,3,13,3,125,yes,0,0,0,0,0,0,no
