Label of tree,type,Twig a or b,Date,Live scale shoot 1,dead scale shoot 1,Live scale shoot 2,dead scale shoot 2,Live scale shoot 3,dead scale shoot 3,presence of parasitism,scale on new growth?,presence of fungus,encarsia,notes,
D-A1a,both,a,July,0,4,0,3,0,1,no,yes,no,,,
D-A1a,both,b,July,0,14,0,14,0,21,yes,no,no,,,
D-A1b,both,a,July,0,48,1,28,0,23,yes,no,no,,,
D-A1b,both,b,July,0,24,0,17,0,10,no,no,no,,,
D-A1c,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-A1c,EHS,b,July,0,1,0,0,0,0,no,no,no,,,
D-A1d,EHS,a,July,0,2,0,2,0,2,yes,no,no,,,
D-A1d,EHS,b,July,0,1,0,1,0,2,no,no,no,,,
D-B1a,both,a,July,0,12,0,5,0,5,no,no,no,0,,
D-B1a,both,b,July,0,13,0,13,0,15,no,no,no,,,
D-B1b,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-B1b,EHS,b,July,0,0,0,0,0,0,no,no,no,0,,
D-B1c,EHS,a,July,0,0,0,1,0,0,no,no,no,,,
D-B1c,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-B1d,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-B1d,EHS,b,July,0,2,0,0,0,0,no,no,no,,,
D-C1a,EHS,a,July,0,14,0,4,0,9,yes,no,no,2,,
D-C1a,EHS,b,July,,,,,,,no,no,no,,,
D-C1b,EHS,a,July,0,12,0,0,0,0,no,no,no,1,interesting beetle on yellow sticky trap,
D-C1b,EHS,b,July,,,,,,,no,no,no,,,
D-C1c,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-C1c,EHS,b,July,,,,,,,no,no,no,,,
D-C1d,EHS,a,July,0,0,0,2,0,0,yes,no,no,,,
D-C1d,EHS,b,July,,,,,,,no,no,no,,,
D-D1a,Crypto,a,July,0,129,0,79,1,86,yes,no,no,0,,
D-D1a,Crypto,b,July,,,,,,,no,no,no,,,
D-D1b,Crypto,a,July,0,4,0,6,0,12,yes,no,yes,0,,
D-D1b,Crypto,b,July,,,,,,,no,no,no,,,
D-D1c,Crypto,a,July,1,33,0,17,1,15,yes,no,no,,,
D-D1c,Crypto,b,July,,,,,,,no,no,no,,,
D-D1d,Crypto,a,July,0,25,2,20,1,15,yes,no,no,,,
D-D1d,Crypto,b,July,,,,,,,no,no,no,,,
D-A2a,both,a,July,0,2,6,20,,,yes,no,no,1,,
D-A2a,both,b,July,2,18,3,4,0,12,no,no,no,,,
D-A2b,both,a,July,0,7,2,7,0,14,no,no,no,1,,
D-A2b,both,b,July,0,2,0,1,0,2,no,no,no,,,
D-A2c,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-A2c,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-A2d,EHS,a,July,,,,,,,no,no,no,,,
D-A2d,EHS,b,July,,,,,,,no,no,no,,,
D-B2a,EHS,a,July,0,0,0,0,0,0,no,no,no,0,,
D-B2a,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-B2b,EHS,a,July,0,0,0,0,0,0,no,no,no,1,,
D-B2b,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-B2c,EHS,a,July,0,18,0,15,0,1,yes,no,no,,,
D-B2c,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-B2d,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-B2d,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-C2a,EHS,a,July,0,0,0,0,0,0,no,no,no,1,,
D-C2a,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-C2b,EHS,a,July,0,0,0,0,0,0,no,no,no,0,,
D-C2b,EHS,b,July,,,,,,,no,no,no,,,
D-C2c,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-C2c,EHS,b,July,,,,,,,no,no,no,,,
D-C2d,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-C2d,EHS,b,July,,,,,,,no,no,no,,,
D-D2a,EHS,a,July,0,4,1,18,0,7,no,no,no,1,,
D-D2a,EHS,b,July,,,,,,,no,no,no,,,
D-D2b,EHS,a,July,0,2,0,0,0,0,no,no,no,0,,
D-D2b,EHS,b,July,,,,,,,no,no,no,,,
D-D2c,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-D2c,EHS,b,July,,,,,,,no,no,no,,,
D-D2d,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-D2d,EHS,b,July,,,,,,,no,no,no,,,
D-A3a,both,a,July,0,1,,4,0,3,no,yes,no,5,,
D-A3a,both,b,July,0,7,0,0,0,5,no,no,no,,,
D-A3b,both,a,July,0,14,4,22,0,30,no,no,no,3,,
D-A3b,both,b,July,1,8,0,18,1,24,yes,no,no,,,
D-A3c,both,a,July,0,20,0,19,1,16,yes,no,no,,,
D-A3c,both,b,July,0,19,0,26,0,15,yes,no,no,,,
D-A3d,both,a,July,0,24,0,8,1,14,no,no,no,,,
D-A3d,both,b,July,0,13,0,17,1,18,no,no,no,,,
D-B3a,EHS,a,July,0,0,0,0,0,0,no,no,no,2,,
D-B3a,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-B3b,EHS,a,July,0,0,0,0,0,0,no,no,no,1,,
D-B3b,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-B3c,both,a,July,1,1,0,3,0,7,no,no,no,,,
D-B3c,both,b,July,1,23,0,12,0,17,yes,no,no,,,
D-B3d,EHS,a,July,0,1,0,0,0,1,no,no,no,,,
D-B3d,EHS,b,July,0,0,0,2,0,0,no,no,no,,,
D-C3a,EHS,a,July,0,0,0,0,0,0,no,no,no,0,ecto parasitic wasps of cryptomeria poop,
D-C3a,EHS,b,July,,,,,,,no,no,no,,,
D-C3b,EHS,a,July,0,20,6,27,1,42,yes,no,no,0,eggs only ,
D-C3b,EHS,b,July,,,,,,,,,,,,
D-C3c,EHS,a,July,,,,,,,no,no,no,,,
D-C3c,EHS,b,July,,,,,,,,,,,,
D-C3d,EHS,a,July,,,,,,,no,no,no,,ecto parasitic wasps of cryptomeria poop,
D-C3d,EHS,b,July,,,,,,,,,,,,
D-D3a,EHS,a,July,0,0,0,0,0,0,no,no,no,0,,
D-D3a,EHS,b,July,,,,,,,no,no,no,,,
D-D3b,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-D3b,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-D3c,EHS,a,July,0,0,0,1,0,0,no,no,no,,,
D-D3c,EHS,b,July,,,,,,,no,no,no,,,
D-D3d,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-D3d,EHS,b,July,,,,,,,no,no,no,,,
D-A4a,both,a,July,0,3,0,3,0,9,no,no,no,1,,
D-A4a,both,b,July,0,10,,,,,no,no,no,,,
D-A4b,EHS,a,July,0,13,,,,,no,no,yes,1,eggs,
D-A4b,EHS,b,July,,,,,,,no,no,no,,,
D-A4c,EHS,a,July,,,,,,,no,no,no,,,
D-A4c,EHS,b,July,,,,,,,no,no,no,,,
D-A4d,both,a,July,3,39,1,56,0,41,no,yes,no,,,
D-A4d,both,b,July,0,32,0,49,0,41,yes,no,no,,,
D-B4a,EHS,a,July,0,0,0,0,0,0,no,no,no,0,,
D-B4a,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-B4b,EHS,a,July,0,0,0,0,0,0,no,no,no,1,,
D-B4b,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-B4c,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-B4c,EHS,b,July,0,0,1,0,0,0,no,no,no,,,
D-B4d,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-B4d,EHS,b,July,0,0,0,0,0,0,no,no,no,,,
D-C4a,EHS,a,July,0,0,0,2,0,0,no,no,no,1,,
D-C4a,EHS,b,July,,,,,,,no,no,no, ,,
D-C4b,EHS,a,July,0,0,0,0,0,0,no,no,no,0,,
D-C4b,EHS,b,July,,,,,,,no,no,no,,,
D-C4c,EHS,a,July,0,0,0,0,0,0,no,no,no,,,
D-C4c,EHS,b,July,,,,,,,no,no,no,,,
D-C4d,EHS,a,July,0,0,0,1,0,0,no,no,no,,,
D-C4d,EHS,b,July,,,,,,,no,no,no,,,
D-D4a,EHS,a,July,,,,,,,no,no,no,4,,
D-D4a,EHS,b,July,,,,,,,no,no,no,,,
D-D4b,EHS,a,July,,,,,,,no,no,no,1,,
D-D4b,EHS,b,July,,,,,,,no,no,no,,,
D-D4c,EHS,a,July,,,,,,,no,no,no,,,
D-D4c,EHS,b,July,,,,,,,no,no,no,,,
D-D4d,EHS,a,July,,,,,,,no,no,no,,,
D-D4d,EHS,b,July,,,,,,,no,no,no,,,
,,,,,,,,,,,,,,,
D-A1a,Crypto,a,July,,,,,,,no,no,no,,,
